"","FPR","TPR"
"172",0.0590717299578059,0.495384615384615
"173",0.0590717299578059,0.498461538461538
"174",0.0590717299578059,0.501538461538461
"175",0.0590717299578059,0.504615384615385
"176",0.0590717299578059,0.507692307692308
"177",0.0632911392405063,0.507692307692308
"178",0.0632911392405063,0.510769230769231
"179",0.0632911392405063,0.513846153846154
"180",0.0632911392405063,0.516923076923077
"181",0.0632911392405063,0.52
"182",0.0632911392405063,0.523076923076923
"183",0.0675105485232067,0.523076923076923
"184",0.0675105485232067,0.526153846153846
"185",0.0675105485232067,0.529230769230769
"186",0.0675105485232067,0.532307692307692
"187",0.0675105485232067,0.535384615384615
"188",0.0675105485232067,0.538461538461538
"189",0.0675105485232067,0.541538461538462
"190",0.0675105485232067,0.544615384615385
"191",0.0675105485232067,0.547692307692308
